"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"A**";"Arduino_Uno_R3_Shield";1;"Arduino_Uno_R3_Shield";;;
2;"REF**";"PinHeader_1x04_P2.54mm_Vertical";1;"PinHeader_1x04_P2.54mm_Vertical";;;
3;"U3,U1";"TSOT-23-5";2;"TLV313IDBVT";;;
4;"U2";"SOP65P490X110-8N";1;"LM4875MM";;;
5;"R16";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"820K";;;
6;"R15";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"22K";;;
7;"R14,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"27k";;;
8;"R13";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"13.3k";;;
9;"R12";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"10k";;;
10;"R10";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"150k";;;
11;"R9";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"6.2K";;;
12;"R8,R4";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"0";;;
13;"R7";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"300";;;
14;"R6";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"1.5K";;;
15;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"100K";;;
16;"R3";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"6.98K";;;
17;"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"6.8K";;;
18;"J6,J5,J4,J3,J1";"PinHeader_1x02_P2.54mm_Vertical";5;"Conn_01x02";;;
19;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x03";;;
20;"C17,C16,C14,C13,C12,C11,C10,C9,C6,C5,C4,C3,C2,C1";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";14;"0.1u";;;
21;"C15";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";1;"0.2u";;;
22;"C8,C7";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";2;"1.0u";;;
